article_id,number_images,number_citations,number_headers,number_links,number_categories,number_words,number_scentens,wiener_sachtextformel,is_excellent
175775,0,1,3,21,5,119,7,10.5,False
7306748,0,0,2,10,2,79,8,9.4,False
1734724,0,0,0,1,0,1,1,31.6,False
4022688,53,87,62,377,2,11355,820,10.9,True
8481012,4,23,16,64,3,2614,181,10.9,True
8060540,0,0,0,1,0,3,1,9.3,False
6074244,3,6,7,105,2,750,43,8.0,False
1101361,12,268,61,648,4,28788,2117,10.3,True
100735,93,29,53,727,7,13949,857,10.7,True
808426,0,2,33,205,5,5442,332,9.4,True
4521353,0,0,4,13,3,104,5,10.5,False
5626574,6,39,17,262,2,4900,313,13.3,True
1535510,11,44,25,234,8,9635,478,9.0,True
8032210,0,0,6,30,2,298,19,11.6,False
4308600,10,0,5,112,0,867,104,7.6,False
2789022,0,2,10,26,3,845,52,13.4,False
490101,74,149,101,1204,12,19041,1368,10.1,True
748673,7,126,32,295,2,8379,794,9.2,True
240758,6,187,22,280,5,20957,1585,9.6,True
3499178,0,4,5,8,1,238,7,17.7,False
25126,20,56,52,461,7,10966,646,9.9,True
206520,1,4,4,27,1,283,17,12.1,False
4036500,0,0,2,9,3,196,12,10.6,False
3713017,1,5,5,32,5,306,26,8.5,False
74732,10,95,16,258,20,6677,468,9.1,True
1340951,2,7,11,60,11,1926,131,9.6,True
3632066,0,0,0,9,0,38,1,22.7,False
68636,21,98,42,458,25,11055,660,9.1,True
74199,20,113,48,338,9,7171,475,9.8,True
689959,0,0,0,3,0,30,1,15.9,False
1576979,21,32,39,561,1,6633,375,13.1,True
528698,15,1,25,254,1,3616,232,9.8,True
267621,4,54,21,146,7,6967,498,11.2,True
6867404,1,2,3,12,3,219,18,12.7,False
5948712,2,5,6,13,1,444,41,10.3,False
5706504,1,7,5,25,4,514,32,11.3,False
113978,4,19,16,204,2,3012,204,12.7,True
11849,28,173,65,858,10,16455,1128,10.6,True
2014045,0,0,0,10,0,90,1,27.3,False
172299,3,108,25,436,26,9268,787,10.7,True
5122729,0,2,5,19,2,52,5,12.4,False
565763,1,3,5,41,7,667,43,9.0,False
820383,4,1,22,102,4,3280,183,10.4,True
461235,0,0,0,2,4,14,1,18.8,False
2036723,6,0,16,78,3,3054,152,13.2,True
426785,1,0,1,29,4,375,29,10.0,False
1362776,0,7,1,21,1,520,47,7.1,False
7987013,0,2,7,28,2,349,29,9.5,False
1968235,0,0,0,1,2,11,1,14.8,False
70465,0,12,5,50,2,746,54,11.4,False
2302929,1,4,2,25,4,335,28,11.5,False
645872,2,62,19,216,21,7112,659,9.8,True
1299147,10,183,22,372,15,11000,687,10.3,True
1150542,0,4,5,44,1,674,56,10.5,False
330589,28,238,67,741,5,15353,1001,10.7,True
6204219,1,0,5,93,6,549,42,8.2,False
206917,3,39,12,111,2,2838,191,9.4,True
85547,30,92,37,806,13,15520,1116,10.8,True
1845772,0,0,2,8,3,188,23,8.5,False
874353,5,128,31,271,12,10256,774,10.4,True
3035152,0,1,4,6,4,232,35,7.8,False
100459,8,78,24,328,13,6427,283,10.7,True
